Date,Fighter 1,Fighter 2,Result,Split Dec?
27/6/2020,Takashi Sato,Jason Witt,1,0
27/6/2020,Sean Woodson,Julian Erosa,2,0
27/6/2020,Luis Pena,Khama Worthy,2,0
27/6/2020,Philipe Lins,Tanner Boser,2,0
27/6/2020,Kay Hansen,Jinh Yu Frey,1,0
27/6/2020,Jordan Griffin,Youssef Zalal,2,0
11/7/2020,Kamaru Usman,Jorge Masvidal,1,0
11/7/2020,Alexander Volkanovski,Max Holloway,1,1
11/7/2020,Petr Yan,Jose Aldo,1,0
11/7/2020,Jessica Andrade,Rose Namajunas,2,1
11/7/2020,Amanda Ribas,Paige VanZant,1,0
11/7/2020,Volkan Oezdemir,Jiri Prochazka,2,0
11/7/2020,Elizeu Zaleski dos Santos,Muslim Salikhov,2,1
11/7/2020,Makwan Amirkhani,Danny Henry,1,0
11/7/2020,Leonardo Santos,Roman Bogatov,1,0
11/7/2020,Marcin Tybura,Maxim Grishin,1,0
11/7/2020,Raulian Paiva,Zhalgas Zhumagulov,1,0
11/7/2020,Karol Rosa,Vanessa Melo,1,0
11/7/2020,Martin Day,Davey Grant,2,0
15/7/2020,Calvin Kattar,Dan Ige,1,0
15/7/2020,Tim Elliott,Ryan Benoit,1,0
15/7/2020,Jimmie Rivera,Cody Stamann,1,0
15/7/2020,Molly McCann,Taila Santos,2,0
15/7/2020,Abdul Razak Alhassan,Mounir Lazzez,2,0
15/7/2020,John Phillips,Khamzat Chimaev,2,0
15/7/2020,Ricardo Ramos,Lerone Murphy,2,0
15/7/2020,Modestas Bukauskas,Andreas Michailidis,1,0
15/7/2020,Jared Gordon,Chris Fishgold,1,0
15/7/2020,Diana Belbita,Liana Jojua,2,0
15/7/2020,Jack Shore,Aaron Phillips,1,0
18/7/2020,Deiveson Figueiredo,Joseph Benavidez,1,0
18/7/2020,Jack Hermansson,Kelvin Gastelum,1,0
18/7/2020,Marc Diakiese,Rafael Fiziev,2,0
18/7/2020,Ariane da Silva,Luana Carolina,1,0
18/7/2020,Alexandre Pantoja,Askar Askarov,2,0
18/7/2020,Roman Dolidze,Khadis Ibragimov,1,0
18/7/2020,Grant Dawson,Nad Narimani,1,0
18/7/2020,Joe Duffy,Joel Alvarez,2,0
18/7/2020,Brett Johns,Montel Jackson,1,0
18/7/2020,Malcolm Gordon,Amir Albazi,2,0
18/7/2020,Davi Ramos,Arman Tsarukyan,2,0
18/7/2020,Carlos Felipe,Serghei Spivac,2,0
25/7/2020,Robert Whittaker,Darren Till,1,0
25/7/2020,Mauricio Rua,Rogerio Nogueira,1,1
25/7/2020,Fabricio Werdum,Alexander Gustafsson,1,0
25/7/2020,Carla Esparza,Marina Rodriguez,1,1
25/7/2020,Paul Craig,Gadzhimurad Antigulov,1,0
25/7/2020,Alex Oliveira,Peter Sobotta,1,0
25/7/2020,Khamzat Chimaev,Rhys McKee,1,0
25/7/2020,Francisco Trinaldo,Jai Herbert,1,0
25/7/2020,Nicolas Dalby,Jesse Ronson,1,1
25/7/2020,Tom Aspinall,Jake Collier,1,0
25/7/2020,Movsar Evloev,Mike Grundy,1,0
25/7/2020,Tanner Boser,Raphael Pessoa,1,0
25/7/2020,Bethe Correia,Pannie Kianzad,2,0
25/7/2020,Ramazan Emeev,Niklas Stolze,1,0
25/7/2020,Nathaniel Wood,John Castaneda,1,0
01/8/2020,Derek Brunson,Edmen Shahbazyan,1,0
01/8/2020,Joanne Wood,Jennifer Maia,2,0
01/8/2020,Vicente Luque,Randy Brown,1,0
01/8/2020,Lando Vannata,King Green,2,0
01/8/2020,Frankie Saenz,Jonathan Martinez,2,0
01/8/2020,Johnny Munoz,Nate Maness,2,0
01/8/2020,Jamall Emmers,Vince Cachero,1,0
01/8/2020,Chris Gutierrez,Cody Durden,3,1
08/8/2020,Derrick Lewis,Aleksei Oleinik,1,0
08/8/2020,Omari Akhmedov,Chris Weidman,2,0
08/8/2020,Maki Pitolo,Darren Stewart,2,0
08/8/2020,Yana Santos,Julija Stoliarenko,1,0
08/8/2020,Beneil Dariush,Scott Holtzman,1,0
08/8/2020,Tim Means,Laureano Staropoli,1,0
08/8/2020,Kevin Holland,Joaquin Buckley,1,0
08/8/2020,Nasrat Haqparast,Alexander Munoz,1,0
08/8/2020,Andrew Sanchez,Wellington Turman,1,0
08/8/2020,Gavin Tucker,Justin Jaynes,1,0
08/8/2020,Youssef Zalal,Peter Barrett,1,0
08/8/2020,Irwin Rivera,Ali AlQaisi,1,1
15/8/2020,Stipe Miocic,Daniel Cormier,1,0
15/8/2020,Sean O'Malley,Marlon Vera,2,0
15/8/2020,Junior Dos Santos,Jairzinho Rozenstruik,2,0
15/8/2020,Herbert Burns,Daniel Pineda,2,0
15/8/2020,John Dodson,Merab Dvalishvili,2,0
15/8/2020,Jim Miller,Vinc Pichel,2,0
15/8/2020,Felice Herrig,Virna Jandiroba,2,0
15/8/2020,TJ Brown,Danny Chavez,2,0
15/8/2020,Ashley Yoder,Livinha Souza,2,0
15/8/2020,Chris Daukaus,Parker Porter,1,0
15/8/2020,Kai Kamaka III,Tony Kelley,1,0
22/8/2020,Pedro Munhoz,Frankie Edgar,2,1
